employee_id,JobRole,Department,attrition_probability,risk_bucket,avg_engagement_score,avg_satisfaction_score,avg_work_life_balance_score,total_skill_gap_count,skill_gap_list,top_course_recommendation
14,Laboratory Technician,Research & Development,0.29175671207021986,Low,,,,23,"Reading Comprehension, Active Listening, Writing, Science, Critical Thinking, Monitoring, Billing software, Commercial plate reader software, Database software, Electronic medical record EMR software, Laboratory information system LIS, Medical system integration software, MEDITECH software, Microsoft Excel, Microsoft Office software, Minitab, National Instruments LabVIEW, Quality control software, Reimbursement screening software, SAP software, Specimen tracking software, Sunquest Information Systems Sunquest Laboratory, Test result delivery software",Enterprise Resource Planning with SAP
15,Laboratory Technician,Research & Development,0.7046874763309084,High,,,,12,"Mathematics, Science, Database software, FileMaker Pro, Google Docs, IBM Notes, Microsoft Word, National Instruments LabVIEW, Reimbursement screening software, SAP software, Sunquest Information Systems Sunquest Laboratory, Test routing software",FileMaker Pro Database Development
16,Research Scientist,Research & Development,0.35273009119595283,Low,,,,23,"Active Listening, Writing, Speaking, Science, Critical Thinking, Adobe Photoshop, BioArray Software Environment BASE, Database software, ESRI ArcGIS software, Integrated development environment IDE software, Medical Scientists HybridAI, Microsoft Dynamics, Microsoft Excel, Microsoft Exchange, Microsoft Visual Basic, National Instruments LabVIEW, PerkinElmer TurboMass, R, StataCorp Stata, Statistical software, The MathWorks MATLAB, Thermo ToxLab, UNIX",SQL Querying for Beginners
18,Laboratory Technician,Research & Development,0.25667276843896336,Low,,,,22,"Reading Comprehension, Active Listening, Writing, Mathematics, Science, Active Learning, Monitoring, Database software, Google Docs, IBM Notes, Laboratory information system LIS, MEDITECH software, Microscopic image capturing software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Quality control software, Quizlet, Reimbursement screening software, Specimen tracking software, Sunquest Information Systems Sunquest Laboratory, Test result delivery software",SQL Querying for Beginners
19,Laboratory Technician,Research & Development,0.9730375083311232,High,,,,16,"Active Listening, Mathematics, Science, Commercial plate reader software, Electronic medical record EMR software, Email software, FileMaker Pro, Google Docs, Laboratory information system LIS, Medical digital imaging software, MEDITECH software, Microscopic image capturing software, Microsoft Office software, Reimbursement screening software, Specimen tracking software, Test result delivery software",FileMaker Pro Database Development
20,Manufacturing Director,Research & Development,0.2268965933684273,Low,,,,22,"Reading Comprehension, Speaking, Active Learning, ABB Optimize IT Predict & Control, Adobe Acrobat, Adobe Photoshop, Autodesk AutoCAD, AVEVA InTouch HMI, Citect IIM, Computer integrated manufacturing CIM warehouse shipping manager software, IBM Notes, IBM Rational ClearQuest, Landfill gas analysis software, Microsoft Outlook, Microsoft PowerPoint, NetSuite ERP, Prosys Open Platform Communications unified architecture software, PTC Creo Parametric, SAP software, Statistical process control SPC software, Web browser software, YouTube",Enterprise Resource Planning with SAP
21,Research Scientist,Research & Development,0.20979418840014027,Low,,,,26,"Active Listening, Speaking, Science, Critical Thinking, Learning Strategies, Monitoring, Adobe Photoshop, Database software, FileMaker Pro, IBM SPSS Statistics, Integrated development environment IDE software, Linux, Medical Scientists HybridAI, Medical Scientists MediSave, Microsoft Dynamics, Microsoft Publisher, Microsoft Visual Basic, Minitab, R, SAS, StataCorp Stata, Statistical software, Triple G ULTRA Laboratory Information System, Waters Empower 2, Waters Millennium32, Waters Q-DIS/QM LIMS",FileMaker Pro Database Development
22,Laboratory Technician,Research & Development,0.33395278597971567,Low,,,,13,"Mathematics, Critical Thinking, Data entry software, FileMaker Pro, Microscopic image capturing software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, National Instruments LabVIEW, Reimbursement screening software, SAP software, Specimen tracking software, Test result delivery software",FileMaker Pro Database Development
23,Manager,Sales,0.029932517826777885,Low,,,,49,"Reading Comprehension, Active Listening, Active Learning, Learning Strategies, ActionWare, Airtable, Amazon Web Services AWS software, AMG Teleran SalesInSync, Citrix cloud computing software, Customer information control system CICS, Database software, Eko, Flipgrid, Fund accounting software, Geographic information system GIS software, Google Docs, Google Slides, GroupMe, HEAT Software GoldMine, HubSpot software, IBM Cognos Impromptu, IBM Power Systems software, Intuit QuickBooks, Kronos Workforce Payroll, Kronos Workforce Timekeeper, LinkedIn, Microsoft Exchange, Microsoft Office software, Microsoft PowerPoint, Microsoft Publisher, Microsoft SQL Server, Microsoft Visio, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Word, MicroStrategy, Mozilla Firefox, Mozilla Thunderbird, NetSuite NetCRM, Oracle Business Intelligence Enterprise Edition, Oracle Fusion Applications, Oracle PeopleSoft Financials, Personnel scheduling software, Qlik Tech QlikView, R, Screencastify, Software on Sailboats Desktop Sales Manager, Splunk Enterprise, Supervisory control and data acquisition SCADA software",SQL Querying for Beginners
24,Research Scientist,Research & Development,0.5247813973508659,Medium,,,,18,"Speaking, Mathematics, Critical Thinking, IBM SPSS Statistics, Integrated development environment IDE software, Medical Scientists HybridAI, Microsoft Dynamics, Microsoft Exchange, Microsoft Office software, Microsoft Word, PerkinElmer TurboMass, Python, SAS, Statistical software, UNIX, Waters MassLynx, Waters Millennium32, Waters Q-DIS/QM LIMS",Python Programming for Data Analytics
26,Manufacturing Director,Research & Development,0.00907691797576797,Low,,,,26,"Reading Comprehension, Mathematics, Science, Critical Thinking, Adobe Acrobat, CitectSCADA Reports, Clockware, Computer integrated manufacturing CIM software, Computer integrated manufacturing CIM time manager software, Email software, Exact Software JobBOSS, IBM Notes, IBM Rational ClearQuest, Industrial production manager and stock control software, Intuit QuickBooks, Marel production system MPS, Plant management software, ProcessPro Premier, Prosys Open Platform Communications unified architecture software, Qlik Tech QlikView, QUMAS quality management solution software, SAP Business Objects, Schneider Electric CitectSCADA, Web browser software, WorkSchedule.net, YouTube",Enterprise Resource Planning with SAP
27,Sales Representative,Sales,0.8058776293035905,High,,,,9,"Reading Comprehension, Active Listening, Active Learning, Enterprise application integration EAI software, HubSpot software, IBM SPSS Statistics, JamBoard, Microsoft Excel, Microsoft Project",Enterprise Resource Planning with SAP
28,Research Director,Research & Development,0.026750091982136667,Low,,,,22,"Reading Comprehension, Active Listening, Writing, Speaking, Active Learning, Monitoring, Adobe Acrobat, ESRI ArcGIS software, IBM Lotus 1-2-3, IBM SPSS Statistics, Integrated development environment IDE software, Laboratory information management system LIMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Project, Microsoft SharePoint, Microsoft Word, SAP software, StataCorp Stata, Structured query language SQL, The MathWorks MATLAB",Enterprise Resource Planning with SAP
30,Research Scientist,Research & Development,0.2907350425642572,Low,,,,21,"Mathematics, Critical Thinking, Active Learning, Monitoring, Adobe Photoshop, FileMaker Pro, Medical Scientists MediSave, Microsoft Dynamics, Microsoft Excel, Microsoft Project, Microsoft Word, Minitab, National Instruments LabVIEW, PerkinElmer TurboMass, Python, SAS, StataCorp Stata, Statistical software, UNIX, Waters Empower 2, Waters Q-DIS/QM LIMS",FileMaker Pro Database Development
31,Research Scientist,Research & Development,0.42953233851137457,Medium,,,,28,"Reading Comprehension, Active Listening, Mathematics, Science, Adobe Photoshop, BioArray Software Environment BASE, Database software, IBM Notes, Integrated development environment IDE software, LexisNexis, Linux, Medical Scientists HybridAI, Medical Scientists MediSave, Microsoft Dynamics, Microsoft Excel, Microsoft Exchange, Microsoft PowerPoint, Microsoft Project, Microsoft Visual Basic, Microsoft Word, Minitab, National Instruments LabVIEW, PerkinElmer TurboMass, R, SAS, The MathWorks MATLAB, Thermo ToxLab, Waters Millennium32",SQL Querying for Beginners
32,Manager,Research & Development,0.008533739265821827,Low,,,,87,"Active Listening, Speaking, Science, Active Learning, Learning Strategies, ActionWare, Adobe Acrobat, Adobe Creative Cloud software, Airtable, Amazon Web Services AWS software, AMG Teleran SalesInSync, Apache Hadoop, Apple macOS, Atlassian Confluence, Atlassian JIRA, Avidian Technologies Prophet, Blackbaud The Raiser's Edge, Blackboard software, CNC Mastercam, Datawatch Monarch, Deacom ERP, Delphi Technology, Extensible markup language XML, Facebook, Flipgrid, Fund accounting software, Google Ads, Google Analytics, Google Docs, Google Drive, Google Slides, HEAT Software GoldMine, HubSpot software, IBM InfoSphere DataStage, IBM Notes, InnQuest Software roomMaster, Intuit QuickBooks, Kronos Workforce Payroll, Kronos Workforce Timekeeper, LexisNexis, Marketo Marketing Automation, Maximizer Software Maximizer Enterprise, Microsoft Dynamics, Microsoft Excel, Microsoft FrontPage, Microsoft Internet Explorer, Microsoft Office software, Microsoft OneNote, Microsoft Outlook, Microsoft Publisher, Microsoft SharePoint, Microsoft SQL Server, Microsoft Visio, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Windows, Microsoft Word, Mozilla Thunderbird, Nagios, NetSuite NetCRM, Oracle Business Intelligence Enterprise Edition, Oracle Database, Oracle E-Business Suite Financials, Oracle Fusion Applications, Oracle Hyperion, Oracle JD Edwards EnterpriseOne, Oracle PeopleSoft, Oracle PeopleSoft Financials, Oracle Primavera Enterprise Project Portfolio Management, Oracle Solaris, Payroll software, Puppet, Qlik Tech QlikView, Quest Erwin Data Modeler, R, Sage MAS 500, Salesforce software, SAP Business Objects, SAS, Slack, Social media sites, Tableau, Tax software, Teradata Database, Veritas NetBackup, vtiger CRM, YouTube",Enterprise Resource Planning with SAP
33,Research Scientist,Research & Development,0.9042675771118224,High,,,,20,"Reading Comprehension, Writing, Speaking, Science, Critical Thinking, Active Learning, Adobe Photoshop, Database software, Microsoft Dynamics, Microsoft Exchange, Microsoft PowerPoint, Microsoft Project, Microsoft Visual Basic, SAS, StataCorp Stata, Statistical software, The MathWorks MATLAB, UNIX, Waters MassLynx, Waters Millennium32",SQL Querying for Beginners
35,Sales Executive,Sales,0.23539577192662517,Low,,,,46,"Reading Comprehension, Mathematics, Science, Learning Strategies, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache HBase, Apache Struts, Apple iOS, C, C++, Citrix cloud computing software, Dassault Systemes SolidWorks, Extensible markup language XML, IBM Cognos Business Intelligence, IBM DB2, Informatica Corporation PowerCenter, JavaScript, Management information systems MIS, McAfee, Microsoft Access, Microsoft Azure software, Microsoft Dynamics, Microsoft Exchange, Microsoft Office Live Meeting, Microsoft Office software, Microsoft Outlook, Microsoft SharePoint, Microsoft Teams, Microsoft Windows Server, MicroStrategy Desktop, NortonLifeLock cybersecurity software, Oracle Solaris, Perl, Platform as a service PaaS, React, RESTful API, Sales analysis software, Salesforce software, Single sign-on SSO, Teradata Database, UNIX, Virtual private networking VPN software, Web browser software, Wireshark",C++ Object-Oriented Programming
36,Healthcare Representative,Research & Development,0.017528595722607662,Low,,,,24,"Writing, Speaking, Critical Thinking, Learning Strategies, Monitoring, Admissions, discharge, and transfer ADT software, Corel WordPerfect Office Suite, Customer Expressions i-Sight, Database software, Epic EpicCare Inpatient Clinical System, Epic Systems, Epic Systems software, FaceTime, Medical condition coding software, Medical procedure coding software, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Peminic Patient Safety & Quality Suite, Prognosis Solutions ResolvPRM, rL Solutions Feedback MonitorPro, Scheduling software, Web browser software",SQL Querying for Beginners
38,Manager,Sales,0.4481830313364258,Medium,,,,62,"Active Listening, Critical Thinking, Active Learning, Adobe Acrobat, Amazon Web Services AWS software, Apache Hadoop, Atlassian JIRA, Autodesk AutoCAD, Blackbaud The Raiser's Edge, Citrix cloud computing software, Deacom ERP, Delphi Technology, Evernote, Extensible markup language XML, Facebook, FileMaker Pro, Google Drive, GroupMe, HEAT Software GoldMine, IBM Power Systems software, InnQuest Software roomMaster, Kronos Workforce Timekeeper, Marketo Marketing Automation, Maximizer Software Maximizer Enterprise, McAfee, Microsoft Access, Microsoft Dynamics, Microsoft Dynamics GP, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft Visual Basic for Applications VBA, Minitab, Mozilla Thunderbird, NetSuite NetCRM, NortonLifeLock cybersecurity software, Oracle Business Intelligence Enterprise Edition, Oracle E-Business Suite Financials, Oracle Eloqua, Oracle Fusion Applications, Oracle Hyperion, Oracle JD Edwards EnterpriseOne, Oracle Taleo, Payroll software, Personnel scheduling software, PostgreSQL, Qlik Tech QlikView, Realization Streamliner, Sage MAS 500, Salesforce.com Salesforce CRM, SAP Crystal Reports, Savant MobileRanger, Screencastify, Slack, Social media sites, Software on Sailboats Desktop Sales Manager, Splunk Enterprise, Structured query language SQL, Supervisory control and data acquisition SCADA software, Tax software, Yardi software, YouTube",FileMaker Pro Database Development
39,Laboratory Technician,Research & Development,0.4095126060995628,Medium,,,,21,"Mathematics, Science, Critical Thinking, Active Learning, Learning Strategies, Billing software, Email software, Google Docs, Hematology laboratory workflow management software, IBM Notes, Laboratory information system LIS, MEDITECH software, Microsoft Outlook, Microsoft Word, Quality control software, Quizlet, SAP software, Specimen tracking software, Sunquest Information Systems Sunquest Laboratory, Test result delivery software, Test routing software",Enterprise Resource Planning with SAP
40,Healthcare Representative,Research & Development,0.027101894106335785,Low,,,,22,"Reading Comprehension, Mathematics, Critical Thinking, Active Learning, Monitoring, CareOne CareEnsure, Customer Expressions i-Sight, Database software, Epic Systems, Epic Systems software, Google Docs, Healthcare common procedure coding system HCPCS, IBM Notes, Microsoft Access, Microsoft Dynamics, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Pemimic Patient Relations Suite, Prognosis Solutions ResolvPRM, rL Solutions Feedback MonitorPro, Scheduling software",SQL Querying for Beginners
41,Laboratory Technician,Research & Development,0.4084609105803556,Medium,,,,19,"Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Monitoring, Commercial plate reader software, Data entry software, Database software, FileMaker Pro, Medical system integration software, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Minitab, National Instruments LabVIEW, Quizlet, Reimbursement screening software, SAP software",FileMaker Pro Database Development
42,Sales Representative,Sales,0.1521996588644888,Low,,,,9,"Science, Critical Thinking, Monitoring, Apple macOS, HubSpot software, Microsoft Dynamics, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint",Designing High-Impact PowerPoint Presentations
45,Research Scientist,Research & Development,0.7063868053209863,High,,,,24,"Speaking, Monitoring, Adobe Photoshop, BioArray Software Environment BASE, Database software, ESRI ArcGIS software, FileMaker Pro, IBM Notes, Integrated development environment IDE software, Medical Scientists HybridAI, Microsoft Dynamics, Microsoft PowerPoint, Microsoft Project, Microsoft Visual Basic, PerkinElmer TurboMass, Python, R, SAS, Statistical software, The MathWorks MATLAB, Triple G ULTRA Laboratory Information System, UNIX, Waters MassLynx, Waters Millennium32",FileMaker Pro Database Development
46,Research Scientist,Research & Development,0.006449394475212453,Low,,,,16,"Reading Comprehension, Science, Critical Thinking, Active Learning, Learning Strategies, ESRI ArcGIS software, LexisNexis, Linux, Microsoft PowerPoint, Microsoft Project, Microsoft Publisher, Microsoft Visual Basic, Minitab, National Instruments LabVIEW, Triple G ULTRA Laboratory Information System, Waters Q-DIS/QM LIMS",Designing High-Impact PowerPoint Presentations
47,Sales Representative,Sales,0.8847655650630671,High,,,,11,"Active Listening, Writing, Speaking, Mathematics, Science, Active Learning, Enterprise application integration EAI software, Microsoft Dynamics, Microsoft PowerPoint, Microsoft Word, Salesforce software",Designing High-Impact PowerPoint Presentations
49,Sales Representative,Sales,0.33176835476032346,Low,,,,13,"Reading Comprehension, Mathematics, Science, Critical Thinking, Monitoring, Enterprise application integration EAI software, HubSpot software, JamBoard, Microsoft Dynamics, Microsoft Outlook, Microsoft Project, Microsoft Word, Salesforce software",SQL Querying for Beginners
51,Research Scientist,Research & Development,0.7639708868022445,High,,,,25,"Active Listening, Writing, Mathematics, Science, Critical Thinking, Active Learning, Learning Strategies, Monitoring, BioArray Software Environment BASE, ESRI ArcGIS software, LexisNexis, Linux, Medical Scientists HybridAI, Microsoft PowerPoint, Microsoft Word, Minitab, Python, SAS, StataCorp Stata, The MathWorks MATLAB, Thermo ToxLab, UNIX, Waters Empower 2, Waters MassLynx, Waters Q-DIS/QM LIMS",Designing High-Impact PowerPoint Presentations
52,Sales Executive,Sales,0.1745101843203132,Low,,,,32,"Writing, Speaking, Monitoring, Apache Hadoop, Cisco Systems CiscoWorks, Cisco Systems VPN Client, Citrix cloud computing software, Database management software, Enterprise JavaBeans, Extensible hypertext markup language XHTML, Firewall software, Graphics software, Hyperion Solutions Hyperion System 9 Bi+, IBM Cognos Business Intelligence, IBM Domino, Microsoft Dynamics, Microsoft Office Live Meeting, Microsoft Outlook, Microsoft Teams, Microsoft Word, MicroStrategy, Oracle PeopleSoft, PHP, React, SAP Adaptive Server Enterprise, SAP Business Objects, Single sign-on SSO, Software as a service SaaS, Structured query language SQL, Virtual private networking VPN software, Web browser software, Wireshark",Enterprise Resource Planning with SAP
53,Laboratory Technician,Research & Development,0.12216693899870203,Low,,,,17,"Reading Comprehension, Speaking, Monitoring, Billing software, Data entry software, Email software, FileMaker Pro, Google Docs, Hematology laboratory workflow management software, IBM Notes, Laboratory information system LIS, Medical digital imaging software, Medical system integration software, Microsoft Excel, Microsoft Office software, National Instruments LabVIEW, Test routing software",FileMaker Pro Database Development
54,Laboratory Technician,Research & Development,0.14661335382091886,Low,,,,13,"Reading Comprehension, Speaking, Mathematics, Science, Active Learning, Commercial plate reader software, Database software, FileMaker Pro, Medical system integration software, Microsoft Excel, Microsoft Outlook, Microsoft Word, Test routing software",FileMaker Pro Database Development
55,Laboratory Technician,Research & Development,0.94883802714158,High,,,,23,"Reading Comprehension, Active Listening, Writing, Speaking, Mathematics, Critical Thinking, Active Learning, Learning Strategies, Electronic medical record EMR software, Email software, Hematology laboratory workflow management software, Laboratory information system LIS, Medical digital imaging software, Microscopic image capturing software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, National Instruments LabVIEW, Quality control software, Quizlet, Reimbursement screening software, SAP software, Test result delivery software",Enterprise Resource Planning with SAP
56,Sales Executive,Sales,0.3251467938247282,Low,,,,33,"Mathematics, Science, Active Learning, Monitoring, Ab Initio, Apache Cassandra, Apache Hadoop, Apache HBase, Apple iOS, Autodesk AutoCAD, Border Gateway Protocol BGP, C, Database management software, Firewall software, Hyperion Solutions Hyperion System 9 Bi+, IBM Cognos Impromptu, Management information systems MIS, McAfee, Microsoft Dynamics, Microsoft Office Live Meeting, Microsoft Office software, Microsoft SQL Server, Microsoft Visio, Network directory services software, Oracle Solaris, Perl, Platform as a service PaaS, SAP Business Objects, SAP Business One, Single sign-on SSO, Splunk Enterprise, UNIX, WebEx Sales Center",Enterprise Resource Planning with SAP
57,Laboratory Technician,Research & Development,0.2544985152099284,Low,,,,23,"Writing, Speaking, Mathematics, Critical Thinking, Active Learning, Learning Strategies, Monitoring, Billing software, Commercial plate reader software, Database software, Email software, Google Docs, IBM Notes, Medical digital imaging software, Medical system integration software, Microscopic image capturing software, Microsoft Excel, Microsoft Word, National Instruments LabVIEW, Quizlet, SAP software, Specimen tracking software, Test routing software",Enterprise Resource Planning with SAP
58,Research Director,Research & Development,0.12180042663698523,Low,,,,16,"Active Listening, Mathematics, Science, Active Learning, Adobe Acrobat, Adobe Photoshop, IBM SPSS Statistics, Integrated development environment IDE software, Microsoft Excel, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, SAP software, STATISTICA, Structured query language SQL",Enterprise Resource Planning with SAP
60,Sales Executive,Sales,0.33544571337563345,Low,,,,53,"Reading Comprehension, Speaking, Mathematics, Monitoring, Ab Initio, Apache Hadoop, Apache HBase, Apache Struts, Apple iOS, Autodesk AutoCAD, C, Cisco Systems CiscoWorks, Cisco Systems VPN Client, Citrix cloud computing software, Dassault Systemes SolidWorks, Enterprise JavaBeans, Firewall software, Google Workspace software, IBM Cognos Business Intelligence, IBM Domino, Informatica Corporation PowerCenter, JavaScript, Linux, Management information systems MIS, McAfee, Microsoft Access, Microsoft Dynamics, Microsoft Exchange, Microsoft Office software, Microsoft PowerPoint, Microsoft SharePoint, Microsoft SQL Server, Microsoft Teams, Microsoft Windows Server, Microsoft Word, MicroStrategy, PHP, Platform as a service PaaS, RESTful API, Ruby, Sales analysis software, SAP Adaptive Server Enterprise, SAP Business Objects, SAP Business One, Scheduling software, Security assertion markup language SAML, Single sign-on SSO, Splunk Enterprise, Teradata Database, UNIX, Voice over internet protocol VoIP system software, Web browser software, Wireshark",JavaScript Web Development Essentials
61,Research Scientist,Research & Development,0.578959484841127,Medium,,,,21,"Speaking, Critical Thinking, Active Learning, Learning Strategies, Monitoring, BioArray Software Environment BASE, Database software, FileMaker Pro, IBM Notes, Integrated development environment IDE software, Linux, Microsoft Excel, Microsoft Exchange, Microsoft PowerPoint, Microsoft Project, Microsoft Word, National Instruments LabVIEW, SAS, Triple G ULTRA Laboratory Information System, Waters Empower 2, Waters Q-DIS/QM LIMS",FileMaker Pro Database Development
62,Sales Executive,Sales,0.596031174099292,Medium,,,,34,"Mathematics, Science, Active Learning, Apache Cassandra, Apache Hadoop, Apache Pig, Apache Struts, Apple iOS, Citrix cloud computing software, Docker, Extensible hypertext markup language XHTML, IBM Cognos Business Intelligence, IBM DB2, Informatica Corporation PowerCenter, Management information systems MIS, MapReduce big data software, Microsoft Access, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Project, Microsoft SQL Server, Microsoft Teams, NortonLifeLock cybersecurity software, Oracle Java, Oracle PeopleSoft, PHP, R, SAP Adaptive Server Enterprise, SAP Business One, Scheduling software, Security assertion markup language SAML, Teradata Database, Wireshark",Enterprise Resource Planning with SAP
63,Laboratory Technician,Research & Development,0.08326807900515476,Low,,,,19,"Reading Comprehension, Speaking, Critical Thinking, Learning Strategies, Commercial plate reader software, Database software, Electronic medical record EMR software, Email software, Google Docs, Medical system integration software, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, National Instruments LabVIEW, Quality control software, Reimbursement screening software, SAP software, Sunquest Information Systems Sunquest Laboratory, Test result delivery software",Enterprise Resource Planning with SAP
64,Laboratory Technician,Research & Development,0.9515560866156744,High,,,,18,"Mathematics, Active Learning, Learning Strategies, Billing software, Commercial plate reader software, Email software, FileMaker Pro, Hematology laboratory workflow management software, IBM Notes, Laboratory information system LIS, Medical system integration software, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Minitab, Quality control software, Specimen tracking software, Sunquest Information Systems Sunquest Laboratory",FileMaker Pro Database Development
